id,section,position,level,product,amount
,AA,1,1,11,4
,AA,1,2,12,15
,AA,1,3,9,3
,AA,2,1,11,10
,AA,2,2,12,2
,AA,2,3,7,32
,AA,3,1,1,1
,AA,3,2,8,4
,AA,3,3,2,13
,AA,4,1,8,20
,AA,4,2,3,25
,AA,4,3,4,10
,AA,5,1,4,11
,AA,5,2,4,5
,AA,5,3,4,6
,AB,1,1,6,2
,AB,1,2,2,11
,AB,1,3,3,9
,AB,2,1,5,6
,AB,2,2,5,4
,AB,2,3,5,2
,AB,3,1,5,32
,AB,3,2,6,9
,AB,3,3,6,5
,AB,4,1,7,7
,AB,4,2,8,8
,AB,4,3,13,1
,AB,5,1,2,3
,AB,5,2,2,5
,AB,5,3,12,10
,AC,1,1,10,0
,AC,1,2,,
,AC,1,3,,
,AC,2,1,,
,AC,2,2,,
,AC,2,3,,
,AC,3,1,,
,AC,3,2,,
,AC,3,3,,
,AC,4,1,,
,AC,4,2,,
,AC,4,3,,
,AC,5,1,,
,AC,5,2,,
,AC,5,3,,
,AD,1,1,,
,AD,1,2,,
,AD,1,3,,
,AD,2,1,,
,AD,2,2,,
,AD,2,3,,
,AD,3,1,,
,AD,3,2,,
,AD,3,3,,
,AD,4,1,,
,AD,4,2,,
,AD,4,3,,
,AD,5,1,,
,AD,5,2,,
,AD,5,3,,
,AE,1,1,,
,AE,1,2,,
,AE,1,3,,
,AE,2,1,,
,AE,2,2,,
,AE,2,3,,
,AE,3,1,,
,AE,3,2,,
,AE,3,3,,
,AE,4,1,,
,AE,4,2,,
,AE,4,3,,
,AE,5,1,,
,AE,5,2,,
,AE,5,3,,
,AF,1,1,,
,AF,1,2,,
,AF,1,3,,
,AF,2,1,,
,AF,2,2,,
,AF,2,3,,
,AF,3,1,,
,AF,3,2,,
,AF,3,3,,
,AF,4,1,,
,AF,4,2,,
,AF,4,3,,
,AF,5,1,,
,AF,5,2,,
,AF,5,3,,
,AG,1,1,,
,AG,1,2,,
,AG,1,3,,
,AG,2,1,,
,AG,2,2,,
,AG,2,3,,
,AG,3,1,,
,AG,3,2,,
,AG,3,3,,
,AG,4,1,,
,AG,4,2,,
,AG,4,3,,
,AG,5,1,,
,AG,5,2,,
,AG,5,3,,